order,original_index,x,y,dx,dy,slope,angle_deg,radius
295,295,10883.2,4415.2,3184.077013,-1636.495955,-0.513962429,332.798539,3580.009139
296,296,10884.9,4425.1,3185.777013,-1626.595955,-0.510580605,332.952025,3577.008468
297,297,10886.5,4435.0,3187.377013,-1616.695955,-0.507218301,333.105042,3573.944324
298,298,10888.2,4444.8,3189.077013,-1606.895955,-0.503874929,333.257611,3571.040017
299,299,10889.8,4454.7,3190.677013,-1596.995955,-0.500519466,333.411143,3568.026889
300,300,10891.5,4464.5,3192.377013,-1587.195955,-0.497183117,333.564211,3565.173487
301,301,10893.3,4474.4,3194.177013,-1577.295955,-0.493803552,333.719676,3562.390956
302,302,10895.0,4484.2,3195.877013,-1567.495955,-0.490474429,333.87323,3559.588944
303,303,10896.6,4494.1,3197.477013,-1557.595955,-0.487132808,334.027768,3556.678845
304,304,10898.3,4504.0,3199.177013,-1547.695955,-0.483779406,334.183259,3553.884682
305,305,10899.9,4513.8,3200.777013,-1537.895955,-0.480475818,334.336841,3551.069903
306,306,10901.6,4523.7,3202.477013,-1527.995955,-0.477129406,334.492818,3548.327868
307,307,10903.2,4533.6,3204.077013,-1518.095955,-0.473801331,334.648344,3545.5218
