order,original_index,x,y,dx,dy,slope,angle_deg,radius
224,224,10772.6,3714.0,3016.062427,-2444.565641,-0.810515598,320.974694,3882.336118
225,225,10773.6,3724.0,3017.062427,-2434.565641,-0.806932471,321.098813,3876.825447
226,226,10774.5,3733.9,3017.962427,-2424.665641,-0.803411474,321.221205,3871.317693
227,227,10775.6,3743.9,3019.062427,-2414.665641,-0.799806463,321.346954,3865.921377
228,228,10776.8,3753.8,3020.262427,-2404.765641,-0.796210826,321.472817,3860.684255
229,229,10778.1,3763.7,3021.562427,-2394.865641,-0.792591813,321.599944,3855.544182
230,230,10779.6,3773.6,3023.062427,-2384.965641,-0.788923715,321.729254,3850.580157
231,231,10781.2,3783.5,3024.662427,-2375.065641,-0.785233294,321.859817,3845.714445
232,232,10782.9,3793.3,3026.362427,-2365.265641,-0.781553994,321.990453,3841.009124
233,233,10784.5,3803.2,3027.962427,-2355.365641,-0.777871489,322.121671,3836.183489
234,234,10786.1,3813.1,3029.562427,-2345.465641,-0.774192874,322.253219,3831.378025
235,235,10787.7,3823.0,3031.162427,-2335.565641,-0.770518142,322.385096,3826.592808
236,236,10789.3,3832.8,3032.762427,-2325.765641,-0.766880261,322.516114,3821.888768
237,237,10790.8,3842.7,3034.262427,-2315.865641,-0.763238413,322.647736,3817.064598
238,238,10792.3,3852.6,3035.762427,-2305.965641,-0.759600165,322.77969,3812.260622
239,239,10793.6,3862.5,3037.062427,-2296.065641,-0.756015293,322.910162,3807.317377
240,240,10794.8,3872.4,3038.262427,-2286.165641,-0.752458254,323.040066,3802.314021
241,241,10795.9,3882.4,3039.362427,-2276.165641,-0.748895762,323.170615,3797.190275
242,242,10797.1,3892.3,3040.562427,-2266.265641,-0.745344223,323.301208,3792.226236
243,243,10798.4,3902.2,3041.862427,-2256.365641,-0.741771101,323.433044,3787.362265
244,244,10799.6,3912.1,3043.062427,-2246.465641,-0.738225289,323.564319,3782.437945
245,245,10801.0,3922.1,3044.462427,-2236.465641,-0.734601163,323.698953,3777.635508
246,246,10802.4,3932.0,3045.862427,-2226.565641,-0.7310132,323.832703,3772.912996
247,247,10803.8,3941.9,3047.262427,-2216.665641,-0.727428534,323.966788,3768.211096
248,248,10805.3,3951.7,3048.762427,-2206.865641,-0.723856218,324.100867,3763.669525
249,249,10806.8,3961.6,3050.262427,-2196.965641,-0.720254632,324.236506,3759.090169
250,250,10808.4,3971.5,3051.862427,-2187.065641,-0.716633103,324.373363,3754.613214
251,251,10810.0,3981.4,3053.462427,-2177.165641,-0.71301537,324.510547,3750.157733
252,252,10811.7,3991.2,3055.162427,-2167.365641,-0.709410937,324.647694,3745.863222
253,253,10813.3,4001.1,3056.762427,-2157.465641,-0.70580089,324.785522,3741.450858
254,254,10815.0,4011.0,3058.462427,-2147.565641,-0.70217166,324.924557,3737.142036
255,255,10816.7,4020.8,3060.162427,-2137.765641,-0.698579141,325.062653,3732.912538
256,256,10818.4,4030.7,3061.862427,-2127.865641,-0.694957952,325.202324,3728.647705
257,257,10820.1,4040.5,3063.562427,-2118.065641,-0.691373423,325.341048,3724.461948
258,258,10821.8,4050.4,3065.262427,-2108.165641,-0.687760246,325.481353,3720.241406
259,259,10823.5,4060.2,3066.962427,-2098.365641,-0.68418368,325.620703,3716.099688
260,260,10825.1,4070.1,3068.562427,-2088.465641,-0.680600669,325.760771,3711.841066
261,261,10826.7,4080.0,3070.162427,-2078.565641,-0.677021392,325.901159,3707.604678
262,262,10828.3,4089.8,3071.762427,-2068.765641,-0.673478399,326.040585,3703.44646
263,263,10829.9,4099.7,3073.362427,-2058.865641,-0.669906557,326.18161,3699.254565
264,264,10831.5,4109.6,3074.962427,-2048.965641,-0.666338432,326.322954,3695.085131
265,265,10833.1,4119.5,3076.562427,-2039.065641,-0.662774018,326.464617,3690.938235
266,266,10834.7,4129.3,3078.162427,-2029.265641,-0.659245796,326.6053,3686.868992
267,267,10836.3,4139.2,3079.762427,-2019.365641,-0.655688771,326.747594,3682.767193
268,268,10838.0,4149.0,3081.462427,-2009.565641,-0.652146729,326.889751,3678.826546
269,269,10839.8,4158.9,3083.262427,-1999.665641,-0.648555122,327.034368,3674.938077
270,270,10841.6,4168.7,3085.062427,-1989.865641,-0.645000122,327.177979,3671.127272
271,271,10843.5,4178.5,3086.962427,-1980.065641,-0.641428488,327.322731,3667.423751
272,272,10845.3,4188.4,3088.762427,-1970.165641,-0.637849523,327.468252,3663.605599
273,273,10847.0,4198.2,3090.462427,-1960.365641,-0.634327609,327.611916,3659.780247
274,274,10848.8,4208.1,3092.262427,-1950.465641,-0.630756828,327.758041,3656.009181
275,275,10850.4,4217.9,3093.862427,-1940.665641,-0.627263069,327.90147,3652.14565
276,276,10852.0,4227.8,3095.462427,-1930.765641,-0.623740616,328.046535,3648.252129
277,277,10853.6,4237.7,3097.062427,-1920.865641,-0.620221802,328.191908,3644.382045
278,278,10855.3,4247.5,3098.762427,-1911.065641,-0.616718992,328.337077,3640.673078
279,279,10856.9,4257.4,3100.362427,-1901.165641,-0.613207548,328.48306,3636.850007
280,280,10858.5,4267.3,3101.962427,-1891.265641,-0.609699726,328.629349,3633.050595
281,281,10860.1,4277.2,3103.562427,-1881.365641,-0.606195521,328.775944,3629.274916
282,282,10861.7,4287.0,3105.162427,-1871.565641,-0.602727131,328.92149,3625.574664
283,283,10863.4,4296.9,3106.862427,-1861.665641,-0.599210839,329.069502,3621.932233
284,284,10865.1,4306.7,3108.562427,-1851.865641,-0.595730562,329.216451,3618.365199
